    //带%的先不要动
    //看到<>标签的也不要动


    "test_msg"                      "测试消息"
    "DOTA_Tooltip_ability_atalanta_tauropolos_cast_time_reduction"                    "CAST TIME % REDUCTION:"
    "DOTA_Tooltip_ability_atalanta_tauropolos_bonus_range_per_agi"                    "BONUS RANGE PER AGI:"
    "DOTA_Tooltip_ability_atalanta_tauropolos_bonus_aoe_per_agi"                      "BONUS AOE PER AGI:"

    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy"                         "日神之灾"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_Description"             "<font color='#58ACFA'>Combo 需求: 20 全属性</font>\n<font color='#58ACFA'>Combo 按键: R-W-D 或 F 于 6 秒内</font>\n<font color='#FF6600'>使用箭矢: 2</font>\n\n在阿波罗和阿忒米斯的庇佑下发出2发箭矢.\n她可以选择向一个地区发射箭雨或者精准狙击单个目标."
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_Lore"                    "很好, 是狩猎时间了. 这是对二神的供品."
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_range"                   "RANGE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_aoe"                     "AOE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_arrow_aoe"               "ARROW AOE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_barrage_arrows"          "BARRAGE ARROWS:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_snipe_arrows"            "SNIPE ARROWS:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_delay"                   "DELAY TO FIRST ARROW:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_cast_time_delay"               "CAST TIME:"

    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage"                       "日神之灾: 弹幕"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage_Description"           "<font color='#58ACFA'>Combo 需求: 20 全属性</font>\n<font color='#58ACFA'>Combo 按键: R-W-D 或 F 于 6 秒内</font>\n<font color='#FF6600'>使用箭矢: 2</font>\n\n在阿波罗和阿忒米斯的庇佑下发出2发箭矢.\n在一段延迟后弹幕降临指定区域."
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage_Lore"                  "很好, 是狩猎时间了. 这是对二神的供品."
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage_range"                 "RANGE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage_aoe"                   "AOE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage_arrow_aoe"             "ARROW AOE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_barrage_arrows"                "ARROWS:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_delay"                   "DELAY TO FIRST ARROW:"

    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_snipe"                         "日神之灾: 狙击"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_snipe_Description"             "<font color='#58ACFA'>Combo 需求: 20 全属性</font>\n<font color='#58ACFA'>Combo 按键: R-W-D 或 F 于 6 秒内</font>\n<font color='#FF6600'>使用箭矢: 2</font>\n\n在阿波罗和阿忒米斯的庇佑下发出2发箭矢.\n在一段延迟后箭矢以致命的精准打击目标."
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_snipe_Lore"                    "很好, 是狩猎时间了. 这是对二神的供品."
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_snipe_range"                   "RANGE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_snipe_arrow_aoe"               "ARROW AOE:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_snipe_arrows"                  "ARROWS:"
    "DOTA_Tooltip_ability_atalanta_phoebus_catastrophe_proxy_delay"                   "DELAY TO FIRST ARROW:"

    "DOTA_Tooltip_ability_atalanta_attribute_arrows_of_the_big_dipper"                              "Arrows Of The Big Dipper"
    "DOTA_Tooltip_ability_atalanta_attribute_arrows_of_the_big_dipper_Description"                  "以阿忒米斯的祝福附魔弓箭. 天箭获得射程提升并提供视野.\n在发射一定数量箭矢后, 最后箭矢的复制品会被再次发射. Combo 箭矢不纳入这个计数. 这发额外的箭矢不消耗箭矢枚数."
    "DOTA_Tooltip_ability_atalanta_attribute_arrows_of_the_big_dipper_attribute_bonus_range"        "BONUS RANGE:"
    "DOTA_Tooltip_ability_atalanta_attribute_arrows_of_the_big_dipper_attribute_vision_radius"      "VISION RADIUS:"
    "DOTA_Tooltip_ability_atalanta_attribute_arrows_of_the_big_dipper_attribute_vision_duration"    "VISION DURATION:"
    "DOTA_Tooltip_ability_atalanta_attribute_arrows_of_the_big_dipper_attribute_arrows_needed"      "ARROWS NEEDED:"

    "DOTA_Tooltip_ability_atalanta_attribute_hunters_mark"                            "猎手标记"
    "DOTA_Tooltip_ability_atalanta_attribute_hunters_mark_Description"                "Calydonian之猎的伤害获得 100%% 护甲穿透."

    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple"                            "金苹果"
    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple_Description"                "提升Calydonian之猎的负面计数持续时间和允许的最大负面层数. 现在Calydonian之猎的主动技能可以对迷雾中的敌人生效了.\n金苹果可以在施展Calydonian之猎6秒内使用.\n<font color='#58ACFA'>金苹果 :</font> 向一个位置发射金苹果. 范围内的敌人将被迫向其移动并试图拾取它."
    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple_range"                      "RANGE:"
    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple_lure_duration"              "LURE DURATION:"
    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple_aoe"                        "AOE:"
    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple_attribute_stack_bonus"      "STACK BONUS:"
    "DOTA_Tooltip_ability_atalanta_attribute_golden_apple_attribute_bonus_duration"   "BONUS DURATION:"

    "DOTA_Tooltip_ability_atalanta_attribute_crossing_arcadia_plus"                   "穿越Arcadia 增强"
    "DOTA_Tooltip_ability_atalanta_attribute_crossing_arcadia_plus_Description"       "穿越Arcadia 期间发射额外箭矢. 这些箭矢的散布能保证正下方的目标会被所有这些箭矢命中. 额外箭矢不会消耗箭矢枚数, 而且纳入Arrows of the Big Dipper的计数.\n在着陆时,附送一次免费的 最后冲刺 ."
    "DOTA_Tooltip_ability_atalanta_attribute_crossing_arcadia_plus_extra_arrows"      "EXTRA ARROWS:"

    "DOTA_Tooltip_ability_ward_conversion"                                              "守卫转化"
    "DOTA_Tooltip_ability_ward_conversion_Description"                                  "把侦查使魔变成一个眼."

    "DOTA_Tooltip_ability_master_transfer_1"	            "Transfer Item 1"
    "DOTA_Tooltip_ability_master_transfer_1_Description"	"把格子1中的物品传给从者."

    "DOTA_Tooltip_ability_master_transfer_2"	            "Transfer Item 2"
    "DOTA_Tooltip_ability_master_transfer_2_Description"	"把格子2中的物品传给从者."

    "DOTA_Tooltip_ability_master_transfer_3"	            "Transfer Item 3"
    "DOTA_Tooltip_ability_master_transfer_3_Description"	"把格子3中的物品传给从者."

    "DOTA_Tooltip_ability_master_transfer_4"	            "Transfer Item 4"
    "DOTA_Tooltip_ability_master_transfer_4_Description"	"把格子4中的物品传给从者."

    "DOTA_Tooltip_ability_master_transfer_5"	            "Transfer Item 5"
    "DOTA_Tooltip_ability_master_transfer_5_Description"	"把格子5中的物品传给从者."

    "DOTA_Tooltip_ability_master_transfer_6"	            "Transfer Item 6"
    "DOTA_Tooltip_ability_master_transfer_6_Description"	"把格子6中的物品传给从者."

    "DOTA_Tooltip_Ability_lishuwen_raging_dragon_strike_Description"	        "<font color='#58ACFA'>Combo 需求 : 20 全属性</font>\n<font color='#58ACFA'>Combo 按键 : W-E 于3秒内</font>\n发动一组令人畏惧的3连动作.\n<font color='#58ACFA'>1st:</font> 冲向目标,路上所有敌人受到魔法伤害, ***附加致命标记*** 并且 <font color='#FF3399'>减速</font> 他们.\n<font color='#58ACFA'>2nd:</font> 踩地板, 对附近敌人造成物理伤害并且如果他们受致命标记影响那么眩晕他们.\n<font color='#58ACFA'>3rd:</font> 飞跃至天空, <font color='#FF3399'>将敌人击至空中</font>. 然后快速传送到空中的敌人身边, 击出数拳造成混合伤害并施加致命标记.\n如果第三个技能没能发动, 那么冷却会显著缩减."


    "DOTA_Tooltip_ability_true_assassin_attribute_weakening_venom_Description"	"投掷匕首 造成基于敏捷的额外伤害 ***并拥有更短冷却***. 另外, 它的毒素降低目标力量值并持续更长时间.\n同时, assassin的普攻附加一种可堆叠的毒素效果, 减速并降低目标力量值."

    "DOTA_Tooltip_modifier_ta_damage_bonus"                                     "真a 伤害加成"
    "DOTA_Tooltip_modifier_ta_damage_bonus_Description"                         ""

    "DOTA_Tooltip_ability_true_assassin_self_modification_Description"	        "每次击杀会被动地获取额外 ***伤害*** . 激活时, 重筑肉体, 立即医治自身一定生命以及提供一些延时的渐效恢复. "
    "DOTA_Tooltip_ability_true_assassin_self_modification_damage_increase"	    "BONUS DAMAGE PER KILL:"

    "DOTA_Tooltip_Ability_jeanne_purge_the_unjust_Description"		            "贞德以圣印标记地面. 一段延迟后, 天堂之光击中地面, 伤害敌人并 <font color='#FF3399'>沉默</font> 他们.\n<font color='#ff9900'>UNJUST BONUS:</font> 造成额外 ***魔法*** 伤害, 基于杀死计数之差(杀-死)."

    "DOTA_Tooltip_ability_caster_5th_territory_explosion_Description"	        "使储存的魔力暴走, 自毁并基于工房当前魔力量对周围敌人造成伤害.\n***伤害与距离爆心远近有关, 300范围内会造成最大伤害而最大范围时衰减一半的伤害.\n\n伤害随caster智力值增长.\nDAMAGE : 300 + 工房当前魔力 + 智力*8 ***"


    "DOTA_Tooltip_ability_gilgamesh_attribute_rain_of_swords_Description"	    "提升 剑幕 范围 ***以及伤害***. 施展天之锁时自动附送一次 剑幕 ."
    "DOTA_Tooltip_Ability_gilgamesh_attribute_rain_of_swords_barrage_damage"	"INCREASED DAMAGE:"


    "DOTA_Tooltip_ability_diarmuid_rampant_warrior_Description"                 "<font color='#58ACFA'>Combo 需求 : 20 全属性</font>\n<font color='#58ACFA'>Combo 按键 : D-W 于3秒内</font>\nLancer使出浑身解数. ***Lancer 获得双倍 双矛手 效果触发几率***, 并且普攻自动暴击."

    "DOTA_Tooltip_ability_nero_attribute_pari_tenu_blauserum_Description"       "Gladiusanus Blauserum 造成基于敏捷的额外魔法伤害, 并且 <font color='#FF3399'>眩晕</font> 小范围内的敌人. ***眩晕时长随力量值增加.\n***"
    "DOTA_Tooltip_Ability_nero_attribute_pari_tenu_blauserum_stun_duration"     "***BASE STUN DURATION:***"
    "DOTA_Tooltip_Ability_nero_attribute_pari_tenu_blauserum_radius"            "RADIUS:"

    "DOTA_Tooltip_Ability_tamamo_mystic_shackle_Description"	                "将目标灵魂与caster的缝合, 迫使其保持在一定距离内. Caster 在持续时间内处于 <font color='#FF3399'>禁闪</font> 状态. Caster 必须保持在最初施展冥想位置的500范围内并且 ***目标必须在1000范围内才能施展这个技能. 施加 <font color='#FF3399'>禁闪</font> 于敌方目标.***"

    "DOTA_Tooltip_Ability_tamamo_attribute_mystic_shackle"		                "神秘镣铐"
    "DOTA_Tooltip_Ability_tamamo_attribute_mystic_shackle_Description"	        "施展冥想会给予一个友方目标额外魔抗, 或者削减一名敌军的魔抗. 另外,  神秘镣铐 可以在 冥想 后的3秒内使用.\n<font color='#58ACFA'>Mystic Shackle :</font> 将目标灵魂与caster的缝合, 迫使其保持在一定距离内. Caster 在持续时间内处于 <font color='#FF3399'>禁闪</font> 状态. Caster 必须保持在最初施展冥想位置的500范围内并且 ***目标必须在1000范围内才能施展这个技能. 施加 <font color='#FF3399'>禁闪</font> 于敌方目标.***"


    "DOTA_Tooltip_Ability_nursery_rhyme_white_queens_enigma_Description"        "直线发射一股神秘力量. 击中时造成基于目标当前生命值的魔法伤害, <font color='#FF3399'>眩晕</font> 一段不长的时间, 并使被害人承受 <font color='#FF3399'>多种随机种类的控制效果.</font> ***目标已有的效果不会再次被随机选取并且如果目标身上已有所有可能的效果, 那么目标令咒被封.***"
    "DOTA_Tooltip_Ability_nursery_rhyme_white_queens_enigma_Note0"			    "随机种类控制效果包括眩晕, 沉默, *** ****禁闪, 禁锢移动, 以及 缴械."
    "DOTA_Tooltip_Ability_nursery_rhyme_white_queens_enigma_Note1"			    "如果没有更多效果可被选取, 一种随机效果将被选取."
    "DOTA_Tooltip_Ability_nursery_rhyme_white_queens_enigma_Note2"			    "在同一个目标上施加令咒被封有着 1.4秒 冷却."

    "DOTA_Tooltip_Ability_jeanne_attribute_divine_symbol_Description"	        "***增强 Luminosite Eternelle 的 减伤效果***, 并使它能在施法时给所有圣域内友方从者施加 领袖魅力 的buff. 另外, 当La Pucelle激活时贞德自动给自己施加 领袖魅力 ."
    "DOTA_Tooltip_Ability_jeanne_attribute_divine_symbol_bonus_reduction"	    "%BONUS REDUCTION:"

    "DOTA_Tooltip_modifier_luminosite_eternelle_flag_improved_aura"                   "Luminosite Eternelle 旗帜提升光环"
    "DOTA_Tooltip_modifier_luminosite_eternelle_flag_improved_aura_Description"       ""

    "DOTA_Tooltip_modifier_luminosite_eternelle_flag_improved_aura_buff"              "Luminosite Eternelle 旗帜提升光环 Buff"
    "DOTA_Tooltip_modifier_luminosite_eternelle_flag_improved_aura_buff_Description"  ""
